"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count";"error.message"
"HRZManta/726911277379431_851319807034703/726911277379431_851319807034703";"1162";"957";"2";"726911277379431_851319807034703";"data";"data.*";"fetched (200)";"2024-06-08 21:23:48.485591";"Facebook:/<post-id>/comments";"Hola amigos del Hospital Rodriguez Zambrano.. Saludos.. una pregunta.. para pedir una con un especialista d ley hay q ir al Hospital a coger cita.. o se pueden pedir x otros medios.. es decir x numero telefono o redes sociales.. me podrian ayudar con mas informacion.. Muchas Gracoas!!";"2024-05-02T15:33:00+0000";"0";"2";""
"HRZManta/726911277379431_851319807034703/726911277379431_851319807034703";"1163";"957";"2";"726911277379431_851319807034703";"data";"data.*";"fetched (200)";"2024-06-08 21:23:48.485591";"Facebook:/<post-id>/comments";"Juan Bravo saludos cordiales! Por favor acercarse al Centro de Salud más cercano a su domicilio para solicitar una atención por medicina general y a través de ese medio se pueda referir su caso a la especialidad correspondiente aquí en nuestro servicio hospitalario.";"2024-05-02T16:03:36+0000";"1";"0";""
"HRZManta/726911277379431_851319807034703/726911277379431_851319807034703";"1164";"957";"2";"726911277379431_851319807034703";"data";"data.*";"fetched (200)";"2024-06-08 21:23:48.485591";"Facebook:/<post-id>/comments";"Hospital Rodríguez Zambrano - HRZ Manta Muchas gracias x la informacion amigos del HRZ Manta.. pero yo ya soy paciente del hospital ya he tenido dos citas en PSIQUIATRÍA con la Dra Diana Quijije.. pero desde Febrero q fue la ultima cita q tuve no he podido conseguir otra cita mas xq esta ocupado.. y mi pregunta es para ya no estar yendo tantas veces al Hospital a coger cita.. si x si acaso uds no tienen otra alternativa para coger citas d forma virtual o x llamadas telefonicas.. esa es mi pregunta o consulta.. Gracias!!";"2024-05-02T17:22:59+0000";"0";"0";""
"HRZManta/726911277379431_851319807034703/726911277379431_851319807034703";"1165";"957";"2";"726911277379431_851319807034703";"offcut";"";"fetched (200)";"2024-06-08 21:23:48.485591";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850983997068284";"958";"869";"1";"726911277379431_850983997068284";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"📣#TRANSMISIÓN | No te pierdas el lanzamiento de la Semana de Vacunación de las Américas 2024 💉  ⏰10:00  🗓️02 de mayo 2024   🌐➡️ https://www.facebook.com/SaludEcuador/  #ElNuevoEcuador";"2024-05-02T02:26:09+0000";"";"";""
"HRZManta/726911277379431_850983997068284/726911277379431_850983997068284";"1166";"958";"2";"726911277379431_850983997068284";"empty";"";"fetched (200)";"2024-06-08 21:23:48.909567";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850983997068284/726911277379431_850983997068284";"1167";"958";"2";"726911277379431_850983997068284";"offcut";"";"fetched (200)";"2024-06-08 21:23:48.909567";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850893863743964";"959";"869";"1";"726911277379431_850893863743964";"data";"data.*";"fetched (200)";"2024-06-08 21:20:39.793890";"Facebook:/<page-id>/posts";"En el Día Mundial de los Trabajadores, reconocemos, valoramos y resaltamos el aporte de cada servidora y servidor público de esta casa de salud, que con compromiso, pasión y vocación de servicio, entrega día a día en su lugar de trabajo, convirtiéndose en una pieza clave en el proceso de atención integral de nuestros pacientes.   #ElNuevoEcuador #HRZMejorPorTi";"2024-05-01T22:35:58+0000";"";"";""
"HRZManta/726911277379431_850893863743964/726911277379431_850893863743964";"1168";"959";"2";"726911277379431_850893863743964";"empty";"";"fetched (200)";"2024-06-08 21:23:49.178546";"Facebook:/<post-id>/comments";"";"";"";"";""
"HRZManta/726911277379431_850893863743964/726911277379431_850893863743964";"1169";"959";"2";"726911277379431_850893863743964";"offcut";"";"fetched (200)";"2024-06-08 21:23:49.178546";"Facebook:/<post-id>/comments";"";"";"";"";""
